,,,
Name:,IDs:,,
Alternative für Deutschland,AFD,,Bei Personen immer den Nachname verwenen. (Bsp: Martin Sellner ID: Sellner)
Identitaere Bewegung Schwaben,IBS,,
Identitaere Bewegung Deutschland,IBDE,,"Bei Doppelung vom Nachname: Mit Zahl dahinter (Bsp: Mayer1, Mayer2) "
Identitaere Bewegung Niedersachsen,IBN,,
Identitaere Bewegung Brandenburg,IBB,,
Identitaere Bewegung Berlin,IBE,,
Junge Nationalisten,JN,,
Junge Alternative,JA,,
Identitaere Bewegung Nordrhein Westfalen,IBNRW,,
Identitaere Bewegung Bayern,IBBA,,
Identitaere Bewegung Sachsen,IBSA,,
Identitaere Bewegung Thüringen,IBT,,
Identitaere Bewegung Schleswig Holstein,IBSH,,
Identitaere Bewegung Hessen,IBH,,
Die Tagesstimme ,DT,,
Aha!,AHA,,
Ein Prozent fuer unser Land,EPL,,
einprozent.de,EinsP,,
Arktos Verlag,ASVerlag,,
Verlag Antaios,VerlagA,,
AresVerlag,ARVerlag,,
Jungeuropa Verlag,VerlagJE,,
Laut Gedacht,LG,,
Das Leuchtfeuer,DLF,,
Patriot Peer,PP,,
Phalanx Europa,PE,,
Junge Freiheit,JF,,
120Dezibel,120D,,
Defend Europe,DE,,
Blaue Narzisse,BNA,,
Sezession,SZS,,
RING,RING,,
Freilich-Magazin,FMagazin,,
eigentümlich frei,EIF,,
wochenblickat,WOA,name geändert wegen Punkt vorhanden!!!,
Neue Rechte,NR,,
Bibliothek des Konservatismus ,BDK,,
Institut für Staatspolitik,IFS,,
Sezession im Netz,SZSDE,,
revue éléments,REE,,
Konservativ-subversive Aktion,KSA,,
Boersenblatt News,BON,,
FrankfurterBuchmesse,FRB,,
Deutsche Gildenschaft,DG,,
Patriotische Plattform,PAPL,,
PI News,PIN,,
radikal feminin,RF,,
Arminia,ARM,,
Arcadi,AR,,
Compact,CP,,
Deutsche Stimme,DES,,
Bundeswehr,BUW,,
Freiheitliche Partei Oesterreichs,FPOE,,
Heimattreue Deutsche Jugend,HDJ,,
Identitaere Bewegung Oesterreich,IBOE,,
,,,
Kontra Kultur,KK,,
LEGIDA,LEGIDA,,
Kopp-Verlag,KV,,
Mosaik Kommunikation,MK,,
Deutsche Stimme,DS,,
Nationaldemokratische Partei Deutschlands,NPD,,
PEGIDA,PEGIDA,,
Pils Identitaer,PI,,
Saxo-Silesia,SASI,,
Sommer- und Winterakademie,SUWA,,
Lega Rom,LR,,
Die Republikaner (Rechtspartei),DRB,,
CasaPound,CPO,,
Lesen und Schenken,LUSR,,
Jungen Landsmannschaft Ostpreussen ,JLO,,
Deutsche Burschenschaft,DB,,
Burschenschaft Danubia München,DBM,,
Burschenschaft Teutonia Prag,BTP,,
Magazin Anbruch,MAN,,
Renovamen-Verlag,RVE,,
zwischentags,ZT,,
Wiener Burschenschaft Olympia,WBO,,
Universitaetssaengerschaft Barden zu Wien,USBW,,
Burschenschaftlichen Blaetter,BUBL,,
Vlog Identitaer,VI,,
Verleger Albin Michel,Michel,,
Robert Laffont Verlag,RLV,,
Der Eckart,DEC,,
Aufbau Verlag,AUV,,
Verteidiger Europas,VEE,,
Regin Verlag,RGV,,
Karolinger Verlag,KAV,,
Manuscriptum,MANU,,
Quelltexte zur KR,QKR,,
Verlag Bublies,VBU,,
Edition Junge Freiheit,EJF,,
Urburschenschaft,UB,,
Loci Verlag,LVerlag,,
Okzident Media,OM,,
Generation Identitaer,GI,,
Konservative Revolution,KR,,
European Kitchen,EK,,
,,,
Kai Alexander Naggert,Naggert,,
Brittany Pettibone,Pettibone,,
John D Quinn,Quinn,,
Sven Engeser,Engeser,,
Franziska Berit,Berit,,
Patrick Lenart,Lenart,,
Edwin Hintsteiner,Hintsteiner,,
alexander markovics,Markovics,,
philipp huemer,Huemer,,
Jonathan Rudolph,Rudolph,,
Paula Winterfeldt,Winterfeldt,,
Lauren Southern,Southern,,
Philip Thaler,Thaler,,
"Alexander ""Malenki"" Kleine",Malenki,,
Renaud Camus,Camus,,
Martin Lichtmesz,Lichtmesz,,
Beatrix von Storch,Storch,,
Philip Stein,Stein,,
Henning Hoffgaard,Hoffgaard,,
Daniel Fiß,Fiß,,
Ingrid Weiss,Weiss,,
Martin Sellner,Sellner,,
Prof. Dr. Jörg Meuthen,Meuthen,,
Nils Wegner,Wegner,,
Benedikt Kaiser,Kaiser,,
Alexander Alderson,Alderson,,
Luca Kerbl,Kerbl,,
Anabel Schunke,Schunke,,
Tony Gerber,Gerber,,
